,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
12615,155477,i was just thinking,Gunna,a Gift & a Curse,spotify:track:5QG0l8nybp5rLMo7saQHl2,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",48.0
12616,832,Baccseat,Blxst,Sixtape 3,spotify:track:7zMjdHqK0n9bIof7X7KbTC,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",33.0
12617,1130,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,Rodeo,spotify:track:3xby7fOyqmeON8jsnom0AT,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",78.0
12618,917,On The Radar Freestyle,Drake,On The Radar Freestyle,spotify:track:1L0OmJV0LnPDWuHCIGmBV6,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",63.0
12619,1194,Want Me Dead (feat. 21 Savage),Young Thug,BUSINESS IS BUSINESS,spotify:track:3GXjlz7evuodm50dfiDDWo,50co4Is1HCEo8bhOyUWKpn,82.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",54.0
12620,154466,Hellcat Kenny (feat. Lil Uzi Vert),Young Thug,BUSINESS IS BUSINESS,spotify:track:5nYygW7bTgPOhckh3uDR9L,50co4Is1HCEo8bhOyUWKpn,82.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",52.0
12621,34550,...The Make Up,Tory Lanez,PLAYBOY,spotify:track:7l09cNteUmR1IHXZRLWaAE,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",58.0
12622,15765,Don't Leave Me Alone,Supa Gaeta,Don't Leave Me Alone,spotify:track:77IPfTdRVOyJybDEnLyIu4,7icmABGIHlSbuTXU206Obz,30.0,['ghanaian pop'],4.0
12623,133651,UH OH,Skyte,UH OH,spotify:track:3mbD34UDDqSSWssacIgQyr,1Ns95vooI1gESBvt8cEt9U,37.0,['bedroom r&b'],10.0
12624,162980,Wall To Wall,Quavo,Rocket Power,spotify:track:6IgFFnT7ikUWvFSjzxNf0S,0VRj0yCOv2FXJNP47XQnx5,77.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",37.0
12625,274137,DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,UTOPIA,spotify:track:0OEe83mMZ5kaNw5uZQ7ilG,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",62.0
12626,148855,Twin (feat. Lil Durk),Roddy Ricch,Twin (feat. Lil Durk),spotify:track:5B40Td13cDQ4adeAiLf8Z4,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",48.0
12627,193333,back to the moon,Gunna,a Gift & a Curse,spotify:track:3OGCNLxpBmTYRxPZg2yDE5,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",69.0
12628,99259,fivethirty,Jden Ray,fivethirty,spotify:track:4wehl5mpXoqz1xATrXvjmt,5uIxFzTbIX7NDxRA0PBbaF,42.0,[],0.0
12629,137820,Jealous,King Von,Grandson,spotify:track:28fzTeeyJQJG4iYWrNPNMj,6QtgPSJPSzcnn7dPZ4VINp,77.0,"['chicago rap', 'rap']",44.0
12630,215679,killstreaks (with Don Toliver & PinkPantheress),Baby Keem,The Melodic Blue (Deluxe),spotify:track:754hhnczVNu3ibRaoAcujX,5SXuuuRpukkTvsLuUknva1,79.0,"['hip hop', 'rap']",53.0
12631,140800,Grandson (feat. Kodak Black),Lil Durk,Almost Healed,spotify:track:2iUQCloOfXTzjZAyW23pGf,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",45.0
12632,145250,Pasta,Mick Jenkins,The Patience,spotify:track:2wToGAhnWEpw4xmamd95hO,1FvjvACFvko2Z91IvDljrx,54.0,"['alternative hip hop', 'alternative r&b', 'chicago rap', 'conscious hip hop', 'drill', 'underground hip hop']",0.0
12633,122734,007,Mick Jenkins,The Patience,spotify:track:4sv0rzgyjqqCwKBxV1RXmu,1FvjvACFvko2Z91IvDljrx,54.0,"['alternative hip hop', 'alternative r&b', 'chicago rap', 'conscious hip hop', 'drill', 'underground hip hop']",0.0
12634,1840,INDECISIVE,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:3iO9HBIBWvHwm7F6ZqYWNb,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",43.0
12635,1250,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",Young Thug,BUSINESS IS BUSINESS,spotify:track:0r75DNlHu4recmKUdZeMfG,50co4Is1HCEo8bhOyUWKpn,82.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",52.0
12636,1310,Sprinter,Dave,Sprinter,spotify:track:2FDTHlrBguDzQkp7PVj16Q,6Ip8FS7vWT1uKkJSweANQK,79.0,['uk hip hop'],79.0
12637,244480,3AM In NY,Fridayy,Fridayy,spotify:track:4ZlNCLc9luN1x86q4MY8i3,7sP4SQ0WY6jfps1I19Ot7i,67.0,[],41.0
12638,153193,Carry You - Interlude,Fridayy,Fridayy,spotify:track:2dD5McMaAQlkFFTI9XyQJs,7sP4SQ0WY6jfps1I19Ot7i,67.0,[],40.0
12639,222085,HYAENA,Travis Scott,UTOPIA,spotify:track:0hL9gOw6XBWsygEUcVjxEc,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",70.0
12640,34420,CRUISE CONTROL,FRVRFRIDAY,CRUISE CONTROL,spotify:track:6u9t5hY9AhTREcorbRIvkY,2jwmP4TgzTGqjCfcXMDayW,70.0,"['canadian contemporary r&b', 'canadian hip hop', 'indie hip hop', 'trap soul']",29.0
12641,1150,"Daily Duppy, Pt.1",Cristale,Daily Duppy,spotify:track:4O8axezI5PnwmJpnL82dJl,6U1hXHFTV27cbQVXZvnX27,45.0,[],28.0
12642,158137,MMM HMM (feat. Sexyy Red),Lancey Foux,MMM HMM (feat. Sexyy Red),spotify:track:0KK6oylgSBhXglGZQL61y0,2LakckgvXEtJlKOYP6BO11,57.0,['rage rap'],51.0
12643,133289,Patty Cake (feat. Takeoff),Quavo,Rocket Power,spotify:track:485mSqbTvp0pdiK0UW2wbt,0VRj0yCOv2FXJNP47XQnx5,77.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",52.0
12644,204447,SIRENS,Travis Scott,UTOPIA,spotify:track:7LSpFCvRZZot2AlmkUzy9k,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",67.0
12645,167500,Smoke Break-Dance (feat. JID),Mick Jenkins,Smoke Break-Dance (feat. JID),spotify:track:1Dm5maHjhhmcdqS5hK61Ut,1FvjvACFvko2Z91IvDljrx,54.0,"['alternative hip hop', 'alternative r&b', 'chicago rap', 'conscious hip hop', 'drill', 'underground hip hop']",0.0
12646,37304,Sweet Life,Frank Ocean,channel ORANGE,spotify:track:6MEDfjHxnVNcYmHe3mM6L2,2h93pZq0e7k5yf4dywlkpM,87.0,"['lgbtq+ hip hop', 'neo soul']",69.0
12647,167360,Water (Drowning Pt. 2) [feat. Kodak Black],A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],spotify:track:3J8uSfhmDeIgWrzxUAd8rm,31W5EY0aAly4Qieq6OFu6I,74.0,"['melodic rap', 'rap', 'trap']",42.0
12648,185220,K-POP,Travis Scott,K-POP,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",69.0
12649,161092,Lost My Way,Fridayy,Fridayy,spotify:track:2WuDjAxHAzqbBr2HPAnad5,7sP4SQ0WY6jfps1I19Ot7i,67.0,[],46.0
12650,156306,FAN,Offset,FAN,spotify:track:166lmjn9xjWj1AEdGX8PYh,4DdkRBBYG6Yk9Ka8tdJ9BW,81.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",50.0
12651,202933,Cars Bring Me Out (feat. Future),Young Thug,BUSINESS IS BUSINESS,spotify:track:2Okh2n1EHlGhviAYv75MOB,50co4Is1HCEo8bhOyUWKpn,82.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",49.0
12652,174545,Gunsmoke Town,Kodak Black,Pistolz & Pearlz,spotify:track:4286sbHO5syVcp8BrFO2dI,46SHBwWsqBkxI7EeeBEQG7,76.0,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",47.0
12653,185333,Oh U Went (feat. Drake),Young Thug,BUSINESS IS BUSINESS,spotify:track:7qLr3HMApUbyDkUvgIvHnB,50co4Is1HCEo8bhOyUWKpn,82.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",65.0
12654,262429,Patience (feat. Don Toliver),Lil Uzi Vert,Pink Tape,spotify:track:05grSYrVwYw58YMOdJceyz,4O15NlyKLIASxsJ0PrXPfz,81.0,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",56.0
12655,74837,TASTE,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:08Vic0KfYKbJmuiG08wKMq,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",41.0
12656,890,MY EYES,Travis Scott,UTOPIA,spotify:track:4kjI1gwQZRKNDkw1nI475M,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",82.0
12657,1430,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,spotify:track:0lodMO0qK83vfPiiD7FMEt,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",76.0
12658,1720,MY EYES,Travis Scott,UTOPIA,spotify:track:4kjI1gwQZRKNDkw1nI475M,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",82.0
12659,840,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,spotify:track:0lodMO0qK83vfPiiD7FMEt,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",76.0
12660,1230,Put Em On Ice,Lil Durk,Almost Healed,spotify:track:1Q33JSvyx8OTTwafwCNVl8,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",46.0
12661,219500,"Soweto (with Don Toliver, Rema & Tempoe)",Victony,"Soweto (with Don Toliver, Rema and Tempoe)",spotify:track:25Kyv5SeEenT0EETpP2hYn,1E5hfn5BduN2nnoZCJmUVG,72.0,"['afrobeats', 'nigerian pop']",72.0
12662,16949,TRX (feat. Roddy Ricch),Rob49,4GOD II,spotify:track:38ROaBrZt6Zi1sE66nRlDB,1jBoSSrbz9n4ehQWA4cZgB,76.0,['new orleans rap'],26.0
12663,166580,Blueprint,Blxst,Sixtape 3,spotify:track:1t1OFWl4MpfiIJhZe1t6I4,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",32.0
12664,1120,11.11,Quavo,Rocket Power,spotify:track:1C5Eq55pLvw7DCqAGHC9Uu,0VRj0yCOv2FXJNP47XQnx5,77.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",44.0
12665,1670,SUMMER'S UP,FRVRFRIDAY,SUMMER'S UP,spotify:track:5dfI1SCIO02F1oM52jcLJg,2jwmP4TgzTGqjCfcXMDayW,70.0,"['canadian contemporary r&b', 'canadian hip hop', 'indie hip hop', 'trap soul']",18.0
12666,1200,fukumean,Gunna,a Gift & a Curse,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",82.0
12667,2790,Doin Too Much,Lil Durk,Just Cause Y'all Waited 2,spotify:track:4dXU7J4iOBZrhfpAdBzb4C,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",34.0
12668,1080,B12,Lil Durk,Almost Healed,spotify:track:7cP6kjAIJtIN1zyV5Q0kA9,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",49.0
12669,890,Guapanese,Mick Jenkins,The Patience,spotify:track:39pkJZGDFC05WgHkIvbYqd,1FvjvACFvko2Z91IvDljrx,54.0,"['alternative hip hop', 'alternative r&b', 'chicago rap', 'conscious hip hop', 'drill', 'underground hip hop']",0.0
12670,870,Same Side (feat. Rob49),Lil Durk,Almost Healed,spotify:track:2JNaqjOm7jHePMdr6WIadg,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
12671,910,ON MY MIND feat. James Fauntleroy,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:2KY5Yl10cqMdet5WevlYZy,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",39.0
12672,930,At This Point We Stuck,Lil Durk,Almost Healed,spotify:track:6C5BUMqodKquXEQjEE8EeW,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",41.0
12673,12870,IN YOUR EYES,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:1wjDFBUOMuZKm1eJ8GzRBX,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",47.0
12674,870,WHAT I GOTTA DO,FRVRFRIDAY,CRUISE CONTROL,spotify:track:6c2fTkQztyM3YCeU7BP49B,2jwmP4TgzTGqjCfcXMDayW,70.0,"['canadian contemporary r&b', 'canadian hip hop', 'indie hip hop', 'trap soul']",21.0
12675,810,All We Do Is Drill,King Von,Grandson,spotify:track:70NCRiUhOD0MuqhNxczaHT,6QtgPSJPSzcnn7dPZ4VINp,77.0,"['chicago rap', 'rap']",44.0
12676,109610,Fell In Love,Marshmello,Fell In Love,spotify:track:1N8klHEbZ0bFOHnMVs8C9S,64KEffDW9EtZ1y2vBYgq8T,82.0,"['brostep', 'edm', 'pop', 'progressive electro house']",62.0
12677,9430,Since I Have A Lover,6LACK,Since I Have A Lover,spotify:track:5D1QJgn1rP8docnVY6MRJ9,4IVAbR2w4JJNJDDRFP3E83,74.0,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",51.0
12678,31630,FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,spotify:track:42VsgItocQwOQC3XWZ8JNA,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",88.0
12679,93410,Jenn Jenn Jenn,Kyle Richh,41 OTR Pt. 2,spotify:track:76FqbiPTPbSGjtpWHnw6v1,0hF6lbAjRsq4svrQUr5sgU,74.0,['new york drill'],0.0
12680,244000,FORCE OF HABIT,Paris Texas,BOY ANONYMOUS,spotify:track:5HxZVwYpdu1SgUvl411nZ6,1SCrMreNPJYSRZIlRe9SUq,50.0,"['chill abstract hip hop', 'indie hip hop']",49.0
12681,8503,SITUATIONS,Paris Texas,BOY ANONYMOUS,spotify:track:2edufAQPCzOCKUmXetke66,1SCrMreNPJYSRZIlRe9SUq,50.0,"['chill abstract hip hop', 'indie hip hop']",31.0
