,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
2381,129833,Eazy,The Game,Eazy,spotify:track:6Ab81Bs9fcOwaTYuBsUUpI,0NbfKEOTQCcwd6o7wSDOHI,78.0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",53.0
2382,1227526,,,,,,,,
2383,1229417,,,,,,,,
2384,4837876,,,,,,,,
2385,14040,Bella (with 24kGoldn),Static & Ben El,Bella (with 24kGoldn),spotify:track:4l599byuhnBQtohf1BXlab,0xHa28taiElkcQf9o3z76g,49.0,"['israeli pop', 'jewish pop']",33.0
2386,183693,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2387,140695,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2388,140695,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2389,140695,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2390,11132,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2391,140695,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2392,140695,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2393,140420,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2394,3659,Max Out,Vellydagoat,Max Out,spotify:track:1ipAfyei0lxcbruf2StAYg,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
2395,2300,thailand,Roddy Ricch,LIVE LIFE FAST,spotify:track:0qHPxjC83zQYcxe39xSShx,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",47.0
2396,213453,don’t i (feat. Gunna),Roddy Ricch,LIVE LIFE FAST,spotify:track:4t2HbYiaqvoPsbSrOB0LqS,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",45.0
2397,170413,hibachi (feat. Kodak Black & 21 Savage),Roddy Ricch,LIVE LIFE FAST,spotify:track:7FCDmAel69bzxRkOxbh2dB,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",55.0
2398,350395,Ballin' (with Roddy Ricch),Mustard,Perfect Ten,spotify:track:3QzAOrNlsabgbMwlZt7TAY,0YinUQ50QDB7ZxSCLyQ40k,73.0,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",73.0
2399,222225,moved to miami (feat. Lil Baby),Roddy Ricch,LIVE LIFE FAST,spotify:track:3rjwafyisDpLdoJ4RecHp6,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",46.0
2400,150158,LEMME FIND OUT,Bino Rideaux,LEMME FIND OUT,spotify:track:2aMi7wkUtVZ7QTm6paGgox,3pcerTbRFAPvWWtAfySFWB,52.0,"['cali rap', 'westcoast flow']",34.0
2401,990,Walk Em Down (feat. Roddy Ricch),NLE Choppa,Walk Em Down (feat. Roddy Ricch),spotify:track:4cSSL3YafYjM3yjgFO1vJg,0ErzCpIMyLcjPiwT4elrtZ,79.0,"['memphis hip hop', 'rap']",59.0
2402,159741,murda one (feat. Fivio Foreign),Roddy Ricch,LIVE LIFE FAST,spotify:track:1rdVnpJ6puWLlxkG6Kmcls,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",36.0
2403,140207,STUNNAMAN (with Roddy Ricch & feat. Lil Wayne),Birdman,STUNNAMAN,spotify:track:3ptB4SmuSJTGhQByFrMJVJ,35sCXuy5gN6Or69rZ9vqBs,59.0,"['dirty south rap', 'southern hip hop']",36.0
2404,1020,Down Below,Roddy Ricch,Feed Tha Streets II,spotify:track:4SWWe2OYC4mqf40Gc2RSdl,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",70.0
2405,1210,late at night,Roddy Ricch,LIVE LIFE FAST,spotify:track:6kksmL4t09IgxhajuVDDxR,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",60.0
2406,1430,High Fashion (feat. Mustard),Roddy Ricch,Please Excuse Me for Being Antisocial,spotify:track:07KXEDMj78x68D884wgVEm,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",69.0
2407,96021,more than a trend,Roddy Ricch,LIVE LIFE FAST,spotify:track:0yk8VLT5BXbqHK8DZD3xUg,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",35.0
2408,4897,Gifted (feat. Roddy Ricch),Cordae,Gifted (feat. Roddy Ricch),spotify:track:0mb3uDw5vfFUcZfJYFOMRu,0huGjMyP507tBCARyzSkrv,68.0,"['hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",44.0
2409,174970,no way (feat. Jamie Foxx),Roddy Ricch,LIVE LIFE FAST,spotify:track:1nmk4zIiNEbZYJ4eJpajnV,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",34.0
2410,900,COOLER THAN A BITCH (feat. Roddy Ricch),Gunna,WUNNA,spotify:track:5LHHKZOwV8XW4LJP2C64mw,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",55.0
2411,2350,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,Artist 2.0,spotify:track:733c1CWmIGymoQXdp7Us88,31W5EY0aAly4Qieq6OFu6I,74.0,"['melodic rap', 'rap', 'trap']",56.0
2412,2560,all good (feat. Future),Roddy Ricch,LIVE LIFE FAST,spotify:track:4tEArA9SQlyNrBHpjNZAWM,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",42.0
2413,1010,Bacc Seat (feat. Ty Dolla $ign),Roddy Ricch,Please Excuse Me for Being Antisocial,spotify:track:6In6SkveIw26thdYRhHTVX,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",59.0
2414,54970,slow it down (feat. Ty Dolla $ign & Alex Isley),Roddy Ricch,LIVE LIFE FAST,spotify:track:4OB4lUX8h7QLBo1rfiWNht,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",32.0
2415,207157,everything you need,Roddy Ricch,LIVE LIFE FAST,spotify:track:5ZD0MkX1FadkqYwhCCmAiv,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",35.0
2416,240537,Project Dreams,Marshmello,Project Dreams,spotify:track:6GSkLS2y4ZnnZsuRAj975K,64KEffDW9EtZ1y2vBYgq8T,82.0,"['brostep', 'edm', 'pop', 'progressive electro house']",58.0
2417,157656,Die Young,Roddy Ricch,Feed Tha Streets II,spotify:track:3wLtYwtqvKK2ewelSVPeDK,757aE44tKEUQEqRuT6GnEB,80.0,"['melodic rap', 'rap', 'trap']",61.0
2418,66213,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),spotify:track:6ya8ejoKgw906Y8LWclqrp,0EeQBlQJFiAfJeVN2vT9s0,63.0,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",58.0
