,track_id,average_seconds_played,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name_x,artist_name_x,artist_id_x,genres_x,track_popularity_x,track_name_y,artist_name_y,artist_id_y,genres_y,track_popularity_y,avg_completion_rate,total_plays
812,spotify:track:1qpnmMVNAzQgVD7fIiqNwp,145.395,0.682,0.653,9.0,-6.407,1.0,0.211,0.0155,0.0,0.119,0.314,149.987,4.0,Skcretch Sum,42 Dugg,45gHcnDnMC15sgx3VL7ROG,"['detroit trap', 'southern hip hop', 'trap']",33.0,Skcretch Sum,42 Dugg,45gHcnDnMC15sgx3VL7ROG,"['detroit trap', 'southern hip hop', 'trap']",33.0,1.0,1
3271,spotify:track:7JuHVG3qQKQKxC4doneXVW,145.38400000000001,0.759,0.538,8.0,-8.256,0.0,0.384,0.151,0.0,0.126,0.831,146.933,4.0,Back in Blood (feat. Lil Durk),Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",64.0,Back in Blood (feat. Lil Durk),Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",64.0,0.7880318716461597,2
1401,spotify:track:38ROaBrZt6Zi1sE66nRlDB,145.2931142857143,0.626,0.73,2.0,-3.618,1.0,0.384,0.119,0.0,0.114,0.175,174.944,4.0,TRX (feat. Roddy Ricch),Rob49,1jBoSSrbz9n4ehQWA4cZgB,['new orleans rap'],26.0,TRX (feat. Roddy Ricch),Rob49,1jBoSSrbz9n4ehQWA4cZgB,['new orleans rap'],26.0,0.9931719730792818,35
672,spotify:track:1XhaUSmhANVIRtDvs7p2UP,145.149,0.554,0.509,1.0,-9.429,1.0,0.339,0.149,1.86e-05,0.094,0.718,199.874,4.0,Solid (feat. Blxst & Kehlani),Burna Boy,3wcj11K77LjEY1PkEazffa,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",46.0,Solid (feat. Blxst & Kehlani),Burna Boy,3wcj11K77LjEY1PkEazffa,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",46.0,0.7438388807748483,1
484,spotify:track:15EPc80XuFrb2LmOzGjuRg,145.141,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,4.0,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,['alternative r&b'],75.0,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,['alternative r&b'],75.0,0.8213885524781835,1
3284,spotify:track:7LR85XLWw2yXqKBSI5brbG,145.109,0.632,0.924,1.0,-1.802,1.0,0.29,0.281,0.0,0.263,0.441,86.844,4.0,Run This Town,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",76.0,Run This Town,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",76.0,0.5424229964114833,1
2747,spotify:track:69pERsAEF1iG84e1CxZJod,145.044,0.742,0.492,10.0,-6.148,0.0,0.0404,0.0877,0.000724,0.136,0.188,119.966,4.0,Mama Told Me,Quavo,0VRj0yCOv2FXJNP47XQnx5,"['atl hip hop', 'melodic rap', 'rap', 'trap']",36.0,Mama Told Me,Quavo,0VRj0yCOv2FXJNP47XQnx5,"['atl hip hop', 'melodic rap', 'rap', 'trap']",36.0,0.9999931055879212,2
2321,spotify:track:58SqGbqoAgFdsLniHXlDJY,145.00505882352942,0.759,0.86,8.0,-3.247,1.0,0.152,0.215,0.0,0.318,0.894,127.951,4.0,Kolom,Buk Bak,6e6W1oSxPGjoF2iAp2AZtF,"['azonto', 'hiplife']",32.0,Kolom,Buk Bak,6e6W1oSxPGjoF2iAp2AZtF,"['azonto', 'hiplife']",32.0,0.5156505462985741,17
3439,spotify:track:7rTj4pKVamxPkaHooEE23Z,144.9816,0.694,0.837,1.0,-6.126,0.0,0.0403,0.315,0.231,0.0475,0.628,103.988,4.0,Last Thing,Odeal,2BPwxhCvvcb8xDl8GWIjbh,['uk contemporary r&b'],46.0,Last Thing,Odeal,2BPwxhCvvcb8xDl8GWIjbh,['uk contemporary r&b'],46.0,0.8936738354568485,5
1947,spotify:track:4KmZJVyJq5p06NVI8ntSlm,144.94,0.855,0.522,1.0,-7.347,1.0,0.522,0.0619,0.0,0.138,0.821,164.007,4.0,Double (feat. NLE Choppa),Smokepurpp,21dooacK2WGBB5amYvKyfM,"['melodic rap', 'miami hip hop', 'trap', 'underground hip hop']",36.0,Double (feat. NLE Choppa),Smokepurpp,21dooacK2WGBB5amYvKyfM,"['melodic rap', 'miami hip hop', 'trap', 'underground hip hop']",36.0,0.9309943924513274,1
